,time_simulation,P_104 [L/s],Mix_TK100,Mix_R101,Csus_R101,x_R101,SV_p,SV_gl,molCH4_acum_V101,molCO2_acum_V101,molO2_acum_V101,molH2S_acum_V101,molNH3_acum_V101,molH2O_acum_V101,biogas_acum_V101,Pacum_V101,Pstorage_V101,x_CH4_V101,x_CO2_V101,x_O2_V101,x_NH3_V101,x_H2S_V101,RH_V101,molCH4_acum_V102,molCO2_acum_V102,molO2_acum_V102,molH2S_acum_V102,molNH3_acum_V102,molH2O_acum_V102,biogas_acum_V102,Pacum_V102,Pstorage_V102,x_CH4_V102,x_CO2_V102,x_O2_V102,x_NH3_V102,x_H2S_V102,RH_V102,molCH4_acum_V107,molCO2_acum_V107,molO2_acum_V107,molH2S_acum_V107,molNH3_acum_V107,molH2O_acum_V107,biogas_acum_V107,Pacum_V107,Pstorage_V107,x_CH4_V107,x_CO2_V107,x_O2_V107,x_NH3_V107,x_H2S_V107,RH_V107
14,54000,0.0,50,50,0.0019914354663883487,0.9330286581560474,0.006697134184395263,6.606388016196708,0.07374616135004533,0.04776739996537027,0.00520992753710149,0.0,0.007542221047163728,0.0019082702891954884,0.1361739801888763,1.2143493405722368,1.2143493405722368,54.92553638985426,35.57676788888287,3.8803113177550594,5617.384403507822,0.0,55.35461068977592,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
15,57600,0.0,50,50,0.0019914354663883487,0.9330286581560474,0.006697134184395263,6.606388016196708,0.07374616135004533,0.04776739996537027,0.00520992753710149,0.0,0.007542221047163728,0.0019082702891954884,0.1361739801888763,1.2268731030954103,1.2268731030954103,54.92553638985426,35.57676788888287,3.8803113177550594,5617.384403507822,0.0,46.12552538007477,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
16,61200,0.0,50,50,0.0019914354663883487,0.9330286581560474,0.006697134184395263,6.606388016196708,0.07374616135004533,0.04776739996537027,0.00520992753710149,0.0,0.007542221047163728,0.0019082702891954884,0.1361739801888763,1.2270841281611018,1.2270841281611018,54.92553638985426,35.57676788888287,3.8803113177550594,5617.384403507822,0.0,45.98568288225098,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
17,64800,0.0,50,50,0.0019914354663883487,0.9330286581560474,0.006697134184395263,6.606388016196708,0.07374616135004533,0.04776739996537027,0.00520992753710149,0.0,0.007542221047163728,0.0019082702891954884,0.1361739801888763,1.2272681982272169,1.2272681982272169,54.92553638985426,35.57676788888287,3.8803113177550594,5617.384403507822,0.0,45.86409450831625,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
18,68400,18.0,50,50,0.0022652953030261923,0.9238188388842913,0.007618116111570875,7.51489063825909,0.09784582697417557,0.06337741065372736,0.007197152954694083,0.0,0.01000695957690432,0.002497503655723023,0.18092485381522433,1.6284086760088323,1.6284086760088323,54.83790847463037,35.52000889834012,4.033660169396868,5608.4224576326515,0.0,47.442156646603394,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
19,72000,0.0,50,50,0.0022652953030261923,0.9238188388842913,0.007618116111570875,7.51489063825909,0.09784582697417557,0.06337741065372736,0.007197152954694083,0.0,0.01000695957690432,0.002497503655723023,0.18092485381522433,1.6270495552565092,1.6270495552565092,54.83790847463037,35.52000889834012,4.033660169396868,5608.4224576326515,0.0,48.14719031293906,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
20,75600,0.0,50,50,0.0022652953030261923,0.9238188388842913,0.007618116111570875,7.51489063825909,0.09784582697417557,0.06337741065372736,0.007197152954694083,0.0,0.01000695957690432,0.002497503655723023,0.18092485381522433,1.6232758055979386,1.6232758055979386,54.83790847463037,35.52000889834012,4.033660169396868,5608.4224576326515,0.0,50.16775228542968,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
21,79200,0.0,50,50,0.0022652953030261923,0.9238188388842913,0.007618116111570875,7.51489063825909,0.09784582697417557,0.06337741065372736,0.007197152954694083,0.0,0.01000695957690432,0.002497503655723023,0.18092485381522433,1.622253422387198,1.622253422387198,54.83790847463037,35.52000889834012,4.033660169396868,5608.4224576326515,0.0,50.73155282570898,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
22,82800,0.0,50,50,0.0022652953030261923,0.9238188388842913,0.007618116111570875,7.51489063825909,0.09784582697417557,0.06337741065372736,0.007197152954694083,0.0,0.01000695957690432,0.002497503655723023,0.18092485381522433,1.6196175005924915,1.6196175005924915,54.83790847463037,35.52000889834012,4.033660169396868,5608.4224576326515,0.0,52.21849508127716,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
23,86400,0.0,50,50,0.0022652953030261923,0.9238188388842913,0.007618116111570875,7.51489063825909,0.09784582697417557,0.06337741065372736,0.007197152954694083,0.0,0.01000695957690432,0.002497503655723023,0.18092485381522433,1.6158286105742474,1.6158286105742474,54.83790847463037,35.52000889834012,4.033660169396868,5608.4224576326515,0.0,54.442942256445406,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
